"entity_id","type","value"
"011","sports_club_coed","Archery"
"015","sports_club_coed","Archery"
"024","sports_club_boys","Archery"
"024","sports_club_girls","Archery"
"034","sports_club_coed","Archery"
"061","sports_club_coed","Archery"
"064","sports_club_coed","Archery"
"151","sports_club_coed","Archery"
"308","sports_club_coed","Archery"
"001","sports_club_boys","Baseball"
"001","sports_uil_boys","Baseball"
"002","sports_club_boys","Baseball"
"002","sports_uil_boys","Baseball"
"002","sports_club_girls","Baseball"
"002","sports_uil_girls","Baseball"
"003","sports_uil_boys","Baseball"
"003","sports_uil_coed","Baseball"
"004","sports_uil_boys","Baseball"
"007","sports_uil_boys","Baseball"
"008","sports_uil_boys","Baseball"
"009","sports_uil_boys","Baseball"
"009","sports_uil_girls","Baseball"
"010","sports_uil_boys","Baseball"
"010","sports_uil_girls","Baseball"
"011","sports_uil_boys","Baseball"
"012","sports_uil_boys","Baseball"
"014","sports_uil_boys","Baseball"
"015","sports_uil_boys","Baseball"
"016","sports_uil_boys","Baseball"
"016","sports_uil_girls","Baseball"
"017","sports_uil_boys","Baseball"
"018","sports_uil_boys","Baseball"
"019","sports_uil_boys","Baseball"
"020","sports_uil_boys","Baseball"
"023","sports_uil_boys","Baseball"
"023","sports_uil_girls","Baseball"
"024","sports_uil_boys","Baseball"
"027","sports_uil_boys","Baseball"
"036","sports_uil_boys","Baseball"
"039","sports_club_coed","Baseball"
"041","sports_club_boys","Baseball"
"042","sports_club_boys","Baseball"
"049","sports_club_girls","Baseball"
"053","sports_club_boys","Baseball"
"053","sports_uil_boys","Baseball"
"054","sports_uil_boys","Baseball"
"054","sports_uil_girls","Baseball"
"055","sports_club_boys","Baseball"
"055","sports_club_girls","Baseball"
"057","sports_club_boys","Baseball"
"061","sports_club_boys","Baseball"
"062","sports_club_boys","Baseball"
"064","sports_club_boys","Baseball"
"068","sports_club_boys","Baseball"
"079","sports_club_boys","Baseball"
"098","sports_club_boys","Baseball"
"099","sports_club_boys","Baseball"
"112","sports_club_boys","Baseball"
"113","sports_club_coed","Baseball"
"128","sports_club_coed","Baseball"
"140","sports_club_coed","Baseball"
"153","sports_club_boys","Baseball"
"217","sports_club_boys","Baseball"
"218","sports_club_boys","Baseball"
"222","sports_club_coed","Baseball"
"234","sports_club_boys","Baseball"
"276","sports_club_boys","Baseball"
"310","sports_uil_boys","Baseball"
"311","sports_club_boys","Baseball"
"322","sports_uil_boys","Baseball"
"337","sports_club_boys","Baseball"
"344","sports_club_boys","Baseball"
"390","sports_club_boys","Baseball"
"390","sports_uil_boys","Baseball"
"458","sports_uil_boys","Baseball"
"477","sports_uil_boys","Baseball"
"477","sports_uil_girls","Baseball"
"001","sports_club_boys","Cheer/Drill"
"001","sports_uil_boys","Cheer/Drill"
"001","sports_club_girls","Cheer/Drill"
"001","sports_uil_girls","Cheer/Drill"
"002","sports_club_boys","Cheer/Drill"
"002","sports_uil_boys","Cheer/Drill"
"002","sports_club_girls","Cheer/Drill"
"002","sports_uil_girls","Cheer/Drill"
"003","sports_uil_boys","Cheer/Drill"
"003","sports_uil_girls","Cheer/Drill"
"003","sports_uil_coed","Cheer/Drill"
"004","sports_club_girls","Cheer/Drill"
"004","sports_uil_girls","Cheer/Drill"
"006","sports_club_girls","Cheer/Drill"
"007","sports_uil_girls","Cheer/Drill"
"008","sports_uil_coed","Cheer/Drill"
"009","sports_club_girls","Cheer/Drill"
"009","sports_club_coed","Cheer/Drill"
"010","sports_uil_boys","Cheer/Drill"
"010","sports_uil_girls","Cheer/Drill"
"011","sports_uil_girls","Cheer/Drill"
"012","sports_uil_girls","Cheer/Drill"
"014","sports_uil_girls","Cheer/Drill"
"015","sports_uil_girls","Cheer/Drill"
"015","sports_uil_coed","Cheer/Drill"
"016","sports_uil_girls","Cheer/Drill"
"017","sports_uil_coed","Cheer/Drill"
"018","sports_uil_coed","Cheer/Drill"
"019","sports_uil_boys","Cheer/Drill"
"019","sports_uil_girls","Cheer/Drill"
"020","sports_club_coed","Cheer/Drill"
"023","sports_uil_coed","Cheer/Drill"
"024","sports_uil_girls","Cheer/Drill"
"026","sports_club_girls","Cheer/Drill"
"027","sports_club_coed","Cheer/Drill"
"027","sports_uil_coed","Cheer/Drill"
"034","sports_club_coed","Cheer/Drill"
"036","sports_uil_girls","Cheer/Drill"
"036","sports_uil_coed","Cheer/Drill"
"039","sports_club_girls","Cheer/Drill"
"041","sports_uil_girls","Cheer/Drill"
"042","sports_uil_coed","Cheer/Drill"
"043","sports_club_girls","Cheer/Drill"
"044","sports_club_girls","Cheer/Drill"
"044","sports_uil_girls","Cheer/Drill"
"045","sports_club_girls","Cheer/Drill"
"046","sports_uil_girls","Cheer/Drill"
"047","sports_club_girls","Cheer/Drill"
"049","sports_club_girls","Cheer/Drill"
"050","sports_club_girls","Cheer/Drill"
"051","sports_club_boys","Cheer/Drill"
"051","sports_club_girls","Cheer/Drill"
"052","sports_club_girls","Cheer/Drill"
"053","sports_club_girls","Cheer/Drill"
"053","sports_uil_girls","Cheer/Drill"
"055","sports_club_coed","Cheer/Drill"
"056","sports_uil_girls","Cheer/Drill"
"057","sports_uil_coed","Cheer/Drill"
"059","sports_uil_coed","Cheer/Drill"
"060","sports_uil_girls","Cheer/Drill"
"061","sports_uil_girls","Cheer/Drill"
"062","sports_club_girls","Cheer/Drill"
"064","sports_uil_girls","Cheer/Drill"
"068","sports_uil_girls","Cheer/Drill"
"068","sports_uil_coed","Cheer/Drill"
"072","sports_uil_girls","Cheer/Drill"
"075","sports_club_girls","Cheer/Drill"
"077","sports_club_boys","Cheer/Drill"
"077","sports_uil_boys","Cheer/Drill"
"077","sports_club_girls","Cheer/Drill"
"077","sports_uil_girls","Cheer/Drill"
"077","sports_club_coed","Cheer/Drill"
"077","sports_uil_coed","Cheer/Drill"
"078","sports_uil_girls","Cheer/Drill"
"078","sports_uil_coed","Cheer/Drill"
"079","sports_club_girls","Cheer/Drill"
"079","sports_uil_girls","Cheer/Drill"
"082","sports_uil_girls","Cheer/Drill"
"098","sports_uil_coed","Cheer/Drill"
"099","sports_club_coed","Cheer/Drill"
"102","sports_club_coed","Cheer/Drill"
"102","sports_uil_coed","Cheer/Drill"
"106","sports_club_girls","Cheer/Drill"
"108","sports_club_girls","Cheer/Drill"
"109","sports_club_coed","Cheer/Drill"
"112","sports_club_girls","Cheer/Drill"
"113","sports_club_coed","Cheer/Drill"
"116","sports_club_coed","Cheer/Drill"
"117","sports_club_girls","Cheer/Drill"
"122","sports_club_girls","Cheer/Drill"
"123","sports_club_girls","Cheer/Drill"
"128","sports_club_coed","Cheer/Drill"
"132","sports_club_girls","Cheer/Drill"
"133","sports_club_coed","Cheer/Drill"
"136","sports_club_girls","Cheer/Drill"
"136","sports_uil_girls","Cheer/Drill"
"137","sports_club_coed","Cheer/Drill"
"138","sports_club_coed","Cheer/Drill"
"140","sports_club_coed","Cheer/Drill"
"151","sports_club_girls","Cheer/Drill"
"153","sports_club_girls","Cheer/Drill"
"154","sports_club_girls","Cheer/Drill"
"156","sports_club_coed","Cheer/Drill"
"158","sports_club_girls","Cheer/Drill"
"158","sports_club_coed","Cheer/Drill"
"166","sports_club_girls","Cheer/Drill"
"168","sports_club_girls","Cheer/Drill"
"169","sports_club_coed","Cheer/Drill"
"172","sports_club_boys","Cheer/Drill"
"172","sports_club_girls","Cheer/Drill"
"174","sports_club_girls","Cheer/Drill"
"175","sports_club_girls","Cheer/Drill"
"179","sports_club_coed","Cheer/Drill"
"185","sports_club_girls","Cheer/Drill"
"187","sports_club_coed","Cheer/Drill"
"188","sports_club_coed","Cheer/Drill"
"192","sports_club_girls","Cheer/Drill"
"195","sports_club_girls","Cheer/Drill"
"196","sports_club_girls","Cheer/Drill"
"201","sports_club_girls","Cheer/Drill"
"203","sports_club_coed","Cheer/Drill"
"211","sports_club_coed","Cheer/Drill"
"213","sports_club_girls","Cheer/Drill"
"214","sports_club_girls","Cheer/Drill"
"217","sports_club_girls","Cheer/Drill"
"218","sports_uil_girls","Cheer/Drill"
"219","sports_club_coed","Cheer/Drill"
"225","sports_club_girls","Cheer/Drill"
"231","sports_club_girls","Cheer/Drill"
"234","sports_club_girls","Cheer/Drill"
"240","sports_club_girls","Cheer/Drill"
"241","sports_club_coed","Cheer/Drill"
"243","sports_club_girls","Cheer/Drill"
"247","sports_club_coed","Cheer/Drill"
"254","sports_club_girls","Cheer/Drill"
"257","sports_club_girls","Cheer/Drill"
"258","sports_club_coed","Cheer/Drill"
"260","sports_club_girls","Cheer/Drill"
"262","sports_club_boys","Cheer/Drill"
"262","sports_club_girls","Cheer/Drill"
"263","sports_club_girls","Cheer/Drill"
"264","sports_club_coed","Cheer/Drill"
"265","sports_club_coed","Cheer/Drill"
"267","sports_club_girls","Cheer/Drill"
"268","sports_club_girls","Cheer/Drill"
"271","sports_club_coed","Cheer/Drill"
"276","sports_club_coed","Cheer/Drill"
"279","sports_club_coed","Cheer/Drill"
"285","sports_club_coed","Cheer/Drill"
"286","sports_club_girls","Cheer/Drill"
"286","sports_uil_girls","Cheer/Drill"
"290","sports_club_girls","Cheer/Drill"
"292","sports_club_coed","Cheer/Drill"
"308","sports_club_girls","Cheer/Drill"
"310","sports_club_coed","Cheer/Drill"
"311","sports_club_girls","Cheer/Drill"
"322","sports_club_coed","Cheer/Drill"
"323","sports_club_girls","Cheer/Drill"
"337","sports_uil_coed","Cheer/Drill"
"338","sports_club_coed","Cheer/Drill"
"340","sports_club_boys","Cheer/Drill"
"340","sports_club_girls","Cheer/Drill"
"342","sports_club_girls","Cheer/Drill"
"345","sports_club_girls","Cheer/Drill"
"348","sports_club_girls","Cheer/Drill"
"348","sports_club_coed","Cheer/Drill"
"352","sports_club_coed","Cheer/Drill"
"358","sports_club_coed","Cheer/Drill"
"359","sports_club_girls","Cheer/Drill"
"364","sports_club_girls","Cheer/Drill"
"369","sports_club_coed","Cheer/Drill"
"382","sports_club_girls","Cheer/Drill"
"390","sports_club_boys","Cheer/Drill"
"390","sports_uil_boys","Cheer/Drill"
"390","sports_club_girls","Cheer/Drill"
"390","sports_uil_girls","Cheer/Drill"
"395","sports_club_girls","Cheer/Drill"
"396","sports_club_girls","Cheer/Drill"
"458","sports_uil_boys","Cheer/Drill"
"460","sports_club_girls","Cheer/Drill"
"463","sports_club_girls","Cheer/Drill"
"467","sports_club_girls","Cheer/Drill"
"468","sports_club_coed","Cheer/Drill"
"476","sports_uil_girls","Cheer/Drill"
"477","sports_uil_girls","Cheer/Drill"
"477","sports_uil_coed","Cheer/Drill"
"486","sports_club_girls","Cheer/Drill"
"001","sports_club_boys","Cross Country"
"001","sports_uil_boys","Cross Country"
"001","sports_club_girls","Cross Country"
"001","sports_uil_girls","Cross Country"
"002","sports_club_boys","Cross Country"
"002","sports_uil_boys","Cross Country"
"002","sports_club_girls","Cross Country"
"002","sports_uil_girls","Cross Country"
"003","sports_uil_boys","Cross Country"
"003","sports_uil_girls","Cross Country"
"004","sports_uil_boys","Cross Country"
"004","sports_uil_girls","Cross Country"
"007","sports_uil_boys","Cross Country"
"007","sports_uil_girls","Cross Country"
"008","sports_uil_boys","Cross Country"
"008","sports_uil_girls","Cross Country"
"009","sports_uil_boys","Cross Country"
"009","sports_uil_girls","Cross Country"
"010","sports_uil_boys","Cross Country"
"010","sports_uil_girls","Cross Country"
"011","sports_uil_boys","Cross Country"
"011","sports_uil_girls","Cross Country"
"012","sports_uil_boys","Cross Country"
"012","sports_uil_girls","Cross Country"
"014","sports_uil_boys","Cross Country"
"014","sports_uil_girls","Cross Country"
"015","sports_uil_boys","Cross Country"
"015","sports_uil_girls","Cross Country"
"016","sports_uil_boys","Cross Country"
"016","sports_uil_girls","Cross Country"
"017","sports_uil_boys","Cross Country"
"017","sports_uil_girls","Cross Country"
"018","sports_uil_boys","Cross Country"
"018","sports_uil_girls","Cross Country"
"019","sports_uil_boys","Cross Country"
"019","sports_uil_girls","Cross Country"
"020","sports_uil_boys","Cross Country"
"020","sports_uil_girls","Cross Country"
"023","sports_uil_boys","Cross Country"
"023","sports_uil_girls","Cross Country"
"024","sports_uil_boys","Cross Country"
"024","sports_uil_girls","Cross Country"
"027","sports_uil_boys","Cross Country"
"027","sports_uil_girls","Cross Country"
"027","sports_club_coed","Cross Country"
"036","sports_uil_boys","Cross Country"
"036","sports_uil_girls","Cross Country"
"039","sports_uil_boys","Cross Country"
"039","sports_uil_girls","Cross Country"
"041","sports_uil_boys","Cross Country"
"041","sports_uil_girls","Cross Country"
"042","sports_uil_boys","Cross Country"
"042","sports_uil_girls","Cross Country"
"044","sports_uil_boys","Cross Country"
"044","sports_uil_girls","Cross Country"
"045","sports_uil_boys","Cross Country"
"045","sports_uil_girls","Cross Country"
"046","sports_uil_boys","Cross Country"
"046","sports_uil_girls","Cross Country"
"047","sports_uil_boys","Cross Country"
"047","sports_uil_girls","Cross Country"
"049","sports_uil_girls","Cross Country"
"051","sports_uil_boys","Cross Country"
"051","sports_uil_girls","Cross Country"
"052","sports_club_boys","Cross Country"
"052","sports_club_girls","Cross Country"
"053","sports_club_boys","Cross Country"
"053","sports_uil_boys","Cross Country"
"053","sports_club_girls","Cross Country"
"053","sports_uil_girls","Cross Country"
"055","sports_uil_boys","Cross Country"
"055","sports_uil_girls","Cross Country"
"056","sports_uil_boys","Cross Country"
"056","sports_uil_girls","Cross Country"
"057","sports_uil_boys","Cross Country"
"057","sports_uil_girls","Cross Country"
"060","sports_uil_boys","Cross Country"
"060","sports_uil_girls","Cross Country"
"062","sports_uil_boys","Cross Country"
"062","sports_uil_girls","Cross Country"
"064","sports_uil_coed","Cross Country"
"068","sports_uil_boys","Cross Country"
"068","sports_uil_girls","Cross Country"
"075","sports_uil_boys","Cross Country"
"075","sports_uil_girls","Cross Country"
"077","sports_club_boys","Cross Country"
"077","sports_uil_boys","Cross Country"
"077","sports_club_girls","Cross Country"
"077","sports_uil_girls","Cross Country"
"077","sports_club_coed","Cross Country"
"077","sports_uil_coed","Cross Country"
"078","sports_uil_boys","Cross Country"
"078","sports_uil_girls","Cross Country"
"079","sports_club_boys","Cross Country"
"079","sports_uil_boys","Cross Country"
"079","sports_club_girls","Cross Country"
"079","sports_uil_girls","Cross Country"
"080","sports_uil_coed","Cross Country"
"081","sports_uil_boys","Cross Country"
"081","sports_uil_girls","Cross Country"
"098","sports_uil_boys","Cross Country"
"098","sports_uil_girls","Cross Country"
"099","sports_uil_coed","Cross Country"
"109","sports_club_girls","Cross Country"
"151","sports_club_coed","Cross Country"
"163","sports_club_boys","Cross Country"
"163","sports_club_girls","Cross Country"
"189","sports_club_girls","Cross Country"
"218","sports_uil_boys","Cross Country"
"218","sports_uil_girls","Cross Country"
"240","sports_club_coed","Cross Country"
"243","sports_club_boys","Cross Country"
"243","sports_club_girls","Cross Country"
"243","sports_club_coed","Cross Country"
"264","sports_club_coed","Cross Country"
"286","sports_club_coed","Cross Country"
"310","sports_uil_coed","Cross Country"
"322","sports_uil_coed","Cross Country"
"337","sports_uil_coed","Cross Country"
"338","sports_uil_boys","Cross Country"
"338","sports_uil_girls","Cross Country"
"458","sports_uil_boys","Cross Country"
"460","sports_uil_boys","Cross Country"
"460","sports_uil_girls","Cross Country"
"477","sports_uil_boys","Cross Country"
"477","sports_uil_girls","Cross Country"
"477","sports_uil_coed","Cross Country"
"001","sports_club_boys","Football"
"001","sports_uil_boys","Football"
"002","sports_club_boys","Football"
"002","sports_uil_boys","Football"
"003","sports_uil_boys","Football"
"003","sports_uil_girls","Football"
"003","sports_uil_coed","Football"
"004","sports_uil_boys","Football"
"007","sports_uil_boys","Football"
"008","sports_uil_boys","Football"
"009","sports_uil_boys","Football"
"010","sports_uil_boys","Football"
"010","sports_uil_girls","Football"
"011","sports_uil_boys","Football"
"012","sports_uil_boys","Football"
"014","sports_uil_boys","Football"
"015","sports_uil_boys","Football"
"016","sports_uil_boys","Football"
"017","sports_uil_boys","Football"
"018","sports_uil_boys","Football"
"019","sports_uil_boys","Football"
"019","sports_uil_girls","Football"
"020","sports_uil_boys","Football"
"023","sports_uil_boys","Football"
"024","sports_uil_boys","Football"
"027","sports_uil_boys","Football"
"036","sports_uil_boys","Football"
"041","sports_uil_boys","Football"
"042","sports_uil_boys","Football"
"043","sports_uil_boys","Football"
"044","sports_uil_boys","Football"
"045","sports_uil_boys","Football"
"046","sports_uil_boys","Football"
"047","sports_uil_boys","Football"
"047","sports_uil_girls","Football"
"048","sports_uil_boys","Football"
"048","sports_uil_girls","Football"
"049","sports_uil_boys","Football"
"050","sports_club_boys","Football"
"051","sports_uil_boys","Football"
"052","sports_club_boys","Football"
"053","sports_uil_boys","Football"
"054","sports_uil_boys","Football"
"055","sports_uil_boys","Football"
"056","sports_uil_boys","Football"
"057","sports_club_coed","Football"
"058","sports_club_boys","Football"
"058","sports_uil_boys","Football"
"059","sports_uil_boys","Football"
"060","sports_uil_boys","Football"
"061","sports_uil_boys","Football"
"062","sports_uil_boys","Football"
"062","sports_uil_girls","Football"
"064","sports_uil_boys","Football"
"068","sports_uil_boys","Football"
"068","sports_uil_coed","Football"
"072","sports_uil_boys","Football"
"075","sports_uil_boys","Football"
"075","sports_uil_girls","Football"
"077","sports_club_boys","Football"
"077","sports_uil_boys","Football"
"078","sports_uil_boys","Football"
"079","sports_club_boys","Football"
"079","sports_uil_boys","Football"
"082","sports_uil_boys","Football"
"098","sports_uil_boys","Football"
"099","sports_uil_boys","Football"
"102","sports_club_coed","Football"
"109","sports_club_coed","Football"
"117","sports_club_boys","Football"
"117","sports_club_girls","Football"
"121","sports_club_coed","Football"
"123","sports_club_boys","Football"
"128","sports_club_coed","Football"
"140","sports_club_coed","Football"
"151","sports_club_coed","Football"
"163","sports_club_boys","Football"
"174","sports_club_boys","Football"
"187","sports_club_coed","Football"
"195","sports_club_boys","Football"
"217","sports_club_boys","Football"
"234","sports_club_coed","Football"
"243","sports_club_boys","Football"
"243","sports_club_coed","Football"
"247","sports_club_coed","Football"
"262","sports_club_boys","Football"
"264","sports_club_boys","Football"
"276","sports_club_boys","Football"
"310","sports_uil_boys","Football"
"311","sports_club_boys","Football"
"337","sports_uil_boys","Football"
"338","sports_uil_boys","Football"
"476","sports_uil_boys","Football"
"476","sports_uil_coed","Football"
"477","sports_uil_boys","Football"
"001","sports_club_boys","Golf"
"001","sports_uil_boys","Golf"
"001","sports_club_girls","Golf"
"001","sports_uil_girls","Golf"
"002","sports_club_coed","Golf"
"002","sports_uil_coed","Golf"
